Element;Categorie;Sous_categorie;Phase;Propriété;IFC_Reference;Revit_Param;Version_IFC;Requis
Actionneur;Informations alphanumériques;Niveau objet;PDE;Nom objet (a);IfcRoot.Name;IfcName;IFC4;Oui
Actionneur;Informations alphanumériques;Niveau objet;EXE;Nom objet (a);IfcRoot.Name;IfcName;IFC4;Oui
Actionneur;Informations alphanumériques;Niveau objet;EXP;Nom objet (a);IfcRoot.Name;IfcName;IFC4;Oui
Actionneur;Informations alphanumériques;Niveau objet;PDE;Statut (p);Pset_ActuatorTypeCommon.Status;Phase Created;IFC4;Oui
Actionneur;Informations alphanumériques;Niveau objet;EXE;Statut (p);Pset_ActuatorTypeCommon.Status;Phase Created;IFC4;Oui
Actionneur;Informations alphanumériques;Niveau objet;EXP;Statut (p);Pset_ActuatorTypeCommon.Status;Phase Created;IFC4;Oui
Actionneur;Documentation;Descriptifs;PDE;Prescriptions;;;IFC4;Oui
Actionneur;Documentation;Descriptifs;EXE;Prescriptions;;;IFC4;Oui
Actionneur;Documentation;Maintenance et fiches techniques;EXE;Fiche technique;;;IFC4;Oui
Actionneur;Documentation;Maintenance et fiches techniques;EXP;Fiche technique;;;IFC4;Oui
Actionneur;Documentation;Maintenance et fiches techniques;PDE;Protocole de communication;;;IFC4;Oui
Actionneur;Documentation;Maintenance et fiches techniques;EXE;Protocole de communication;;;IFC4;Oui
Actionneur;Documentation;Maintenance et fiches techniques;EXP;Protocole de communication;;;IFC4;Oui
Actionneur;Documentation;Maintenance et fiches techniques;EXE;Notice de montage;;;IFC4;Oui
Actionneur;Documentation;Maintenance et fiches techniques;EXP;Notice de montage;;;IFC4;Oui
Actionneur;Documentation;Maintenance et fiches techniques;EXE;Protocole de mesure;;;IFC4;Oui
Actionneur;Documentation;Maintenance et fiches techniques;EXP;Protocole de mesure;;;IFC4;Oui
Actionneur;Documentation;Maintenance et fiches techniques;EXE;Notice de maintenance;;;IFC4;Oui
Actionneur;Documentation;Maintenance et fiches techniques;EXP;Notice de maintenance;;;IFC4;Oui
Actionneur;Documentation;Maintenance et fiches techniques;EXE;Carnet d'entretien;;;IFC4;Oui
Actionneur;Documentation;Maintenance et fiches techniques;EXP;Carnet d'entretien;;;IFC4;Oui
Actionneur;Documentation;Plans et schémas;PDE;Schéma unifilaire;;;IFC4;Oui
Actionneur;Documentation;Plans et schémas;EXE;Schéma unifilaire;;;IFC4;Oui
Actionneur;Documentation;Plans et schémas;EXP;Schéma unifilaire;;;IFC4;Oui
Actionneur;Classification;Uniformat II 2010;Toutes;"D8010.10 – Integrated Automation Control of Equipment
D8010.20 – Integrated Automation Control of Conveying
Equipment
D8010.30 – Integrated Automation Control of Fire-Suppression
Systems
D8010.40 – Integrated Automation Control of Plumbing Systems
D8010.50 – Integrated Automation Control of HVAC Systems
D8010.60 – Integrated Automation Control of Electrical Systems
D8010.70 – Integrated Automation Control of Communication Systems
D8010.80 – Integrated Automation Control of Electronic Safety
and Security Systems
D8010.90 – Integrated Automation Supplementary Components";;;IFC4;Oui
Actionneur;Classification;DIN276;Toutes;"KG 466 – hydraulikanlagen
KG 481 – Automationseinrichtungen";;;IFC4;Oui
Appareil audiovisuel;Classe et type IFC;Types IFC;Toutes;Amplificateur de puissance;IfcAudioVisualAppliance.AMPLIFIER;Communication Devices;IFC4;Oui
Appareil audiovisuel;Classe et type IFC;Types IFC;Toutes;Amplificateur intégré;IfcAudioVisualAppliance.AMPLIFIER;Communication Devices;IFC4;Oui
Appareil audiovisuel;Classe et type IFC;Types IFC;Toutes;Commutateur audio-vidéo;IfcAudioVisualAppliance.SWITCHER;Communication Devices;IFC4;Oui
Appareil audiovisuel;Classe et type IFC;Types IFC;Toutes;Ecran;IfcAudioVisualAppliance.DISPLAY;Communication Devices;IFC4;Oui
Appareil audiovisuel;Classe et type IFC;Types IFC;Toutes;Haut-parleur;IfcAudioVisualAppliance.SPEAKER;Communication Devices;IFC4;Oui
Appareil audiovisuel;Classe et type IFC;Types IFC;Toutes;Haut-parleur d'alarme (incendie / alerte vocale);IfcAudioVisualAppliance.SPEAKER;Communication Devices;IFC4;Oui
Appareil audiovisuel;Classe et type IFC;Types IFC;Toutes;Lecteur média;IfcAudioVisualAppliance.PLAYER;Communication Devices;IFC4;Oui
Appareil audiovisuel;Classe et type IFC;Types IFC;Toutes;Téléviseur;IfcAudioVisualAppliance.DISPLAY;Communication Devices;IFC4;Oui
Appareil audiovisuel;Classe et type IFC;Types IFC;Toutes;TV;IfcAudioVisualAppliance.DISPLAY;Communication Devices;IFC4;Oui
Appareil audiovisuel;Classe et type IFC;Types IFC;Toutes;Appareil photo;IfcAudioVisualAppliance.CAMERA;Communication Devices;IFC4;Oui
Appareil audiovisuel;Classe et type IFC;Types IFC;Toutes;Caméra;IfcAudioVisualAppliance.CAMERA;Communication Devices;IFC4;Oui
Appareil audiovisuel;Classe et type IFC;Types IFC;Toutes;Caméra ip;IfcAudioVisualAppliance.CAMERA;Communication Devices;IFC4;Oui
Appareil audiovisuel;Informations alphanumériques;Niveau objet;APD;Statut de rénovation (Archicad) (p);Pset_AudioVisualApplianceTypeCommon.Status;-;IFC4;Oui
Appareil audiovisuel;Informations alphanumériques;Niveau objet;PDE;Statut de rénovation (Archicad) (p);Pset_AudioVisualApplianceTypeCommon.Status;-;IFC4;Oui
Appareil audiovisuel;Informations alphanumériques;Niveau objet;EXE;Statut de rénovation (Archicad) (p);Pset_AudioVisualApplianceTypeCommon.Status;-;IFC4;Oui
Appareil audiovisuel;Informations alphanumériques;Niveau objet;EXP;Statut de rénovation (Archicad) (p);Pset_AudioVisualApplianceTypeCommon.Status;-;IFC4;Oui
Appareil audiovisuel;Informations alphanumériques;Niveau objet;APD;Classe IFC (a);IFC Class;Export Type to IFC As;IFC4;Oui
Appareil audiovisuel;Informations alphanumériques;Niveau objet;PDE;Classe IFC (a);IFC Class;Export Type to IFC As;IFC4;Oui
Appareil audiovisuel;Informations alphanumériques;Niveau objet;EXE;Classe IFC (a);IFC Class;Export Type to IFC As;IFC4;Oui
Appareil audiovisuel;Informations alphanumériques;Niveau objet;EXP;Classe IFC (a);IFC Class;Export Type to IFC As;IFC4;Oui
Appareil audiovisuel;Informations alphanumériques;Niveau objet;APD;Type IFC (a);IFC Type;Type IFC Predefined Type;IFC4;Oui
Appareil audiovisuel;Informations alphanumériques;Niveau objet;PDE;Type IFC (a);IFC Type;Type IFC Predefined Type;IFC4;Oui
Appareil audiovisuel;Informations alphanumériques;Niveau objet;EXE;Type IFC (a);IFC Type;Type IFC Predefined Type;IFC4;Oui
Appareil audiovisuel;Informations alphanumériques;Niveau objet;EXP;Type IFC (a);IFC Type;Type IFC Predefined Type;IFC4;Oui
Appareil audiovisuel;Informations alphanumériques;Niveau objet;APD;Type IFC personnalisé (a);IfcObject.ObjectType;Objecttype (IDS will not check it);IFC4;Oui
Appareil audiovisuel;Informations alphanumériques;Niveau objet;PDE;Type IFC personnalisé (a);IfcObject.ObjectType;Objecttype (IDS will not check it);IFC4;Oui
Appareil audiovisuel;Informations alphanumériques;Niveau objet;EXE;Type IFC personnalisé (a);IfcObject.ObjectType;Objecttype (IDS will not check it);IFC4;Oui
Appareil audiovisuel;Informations alphanumériques;Niveau objet;EXP;Type IFC personnalisé (a);IfcObject.ObjectType;Objecttype (IDS will not check it);IFC4;Oui
Appareil audiovisuel;Informations alphanumériques;Niveau objet;APD;Nom objet (a);IfcRoot.Name;IfcName;IFC4;Oui
Appareil audiovisuel;Informations alphanumériques;Niveau objet;PDE;Nom objet (a);IfcRoot.Name;IfcName;IFC4;Oui
Appareil audiovisuel;Informations alphanumériques;Niveau objet;EXE;Nom objet (a);IfcRoot.Name;IfcName;IFC4;Oui
Appareil audiovisuel;Informations alphanumériques;Niveau objet;EXP;Nom objet (a);IfcRoot.Name;IfcName;IFC4;Oui
Appareil audiovisuel;Informations alphanumériques;Niveau objet;APD;Statut (p);Pset_AudioVisualApplianceTypeCommon.Status;Phase Created;IFC4;Oui
Appareil audiovisuel;Informations alphanumériques;Niveau objet;PDE;Statut (p);Pset_AudioVisualApplianceTypeCommon.Status;Phase Created;IFC4;Oui
Appareil audiovisuel;Informations alphanumériques;Niveau objet;EXE;Statut (p);Pset_AudioVisualApplianceTypeCommon.Status;Phase Created;IFC4;Oui
Appareil audiovisuel;Informations alphanumériques;Niveau objet;EXP;Statut (p);Pset_AudioVisualApplianceTypeCommon.Status;Phase Created;IFC4;Oui
Appareil audiovisuel;Documentation;Descriptifs;APD;Prescriptions;;;IFC4;Oui
Appareil audiovisuel;Documentation;Descriptifs;PDE;Prescriptions;;;IFC4;Oui
Appareil audiovisuel;Documentation;Descriptifs;EXE;Prescriptions;;;IFC4;Oui
Appareil audiovisuel;Documentation;Maintenance et fiches techniques;EXE;Fiche technique;;;IFC4;Oui
Appareil audiovisuel;Documentation;Maintenance et fiches techniques;EXP;Fiche technique;;;IFC4;Oui
Appareil audiovisuel;Documentation;Maintenance et fiches techniques;PDE;Protocole de communication;;;IFC4;Oui
Appareil audiovisuel;Documentation;Maintenance et fiches techniques;EXE;Protocole de communication;;;IFC4;Oui
Appareil audiovisuel;Documentation;Maintenance et fiches techniques;EXP;Protocole de communication;;;IFC4;Oui
Appareil audiovisuel;Documentation;Maintenance et fiches techniques;EXE;Notice de montage;;;IFC4;Oui
Appareil audiovisuel;Documentation;Maintenance et fiches techniques;EXP;Notice de montage;;;IFC4;Oui
Appareil audiovisuel;Documentation;Maintenance et fiches techniques;EXE;Protocole de mesure;;;IFC4;Oui
Appareil audiovisuel;Documentation;Maintenance et fiches techniques;EXP;Protocole de mesure;;;IFC4;Oui
Appareil audiovisuel;Documentation;Maintenance et fiches techniques;EXE;Notice de maintenance;;;IFC4;Oui
Appareil audiovisuel;Documentation;Maintenance et fiches techniques;EXP;Notice de maintenance;;;IFC4;Oui
Appareil audiovisuel;Documentation;Maintenance et fiches techniques;EXE;Carnet d'entretien;;;IFC4;Oui
Appareil audiovisuel;Documentation;Maintenance et fiches techniques;EXP;Carnet d'entretien;;;IFC4;Oui
Appareil audiovisuel;Documentation;Plans et schémas;PDE;Schéma unifilaire;;;IFC4;Oui
Appareil audiovisuel;Documentation;Plans et schémas;EXE;Schéma unifilaire;;;IFC4;Oui
Appareil audiovisuel;Documentation;Plans et schémas;EXP;Schéma unifilaire;;;IFC4;Oui
Appareil audiovisuel;Classification;Uniformat II 2010;Toutes;"D6020 - Voice Communications
D6030 – Audio-Video Communication";;;IFC4;Oui
Appareil audiovisuel;Classification;DIN276;Toutes;"KG451 – Telekommunikationsanlagen
KG452 – Such- und Signalanlagen
KG454 – Elektroackustische Anlagen
KG455 – Audiovisuelle Medien- und Antennenanlagen
KG483 – Automationsmanagement";;;IFC4;Oui
Appareil de données;Classe et type IFC;Types IFC;Toutes;Antenne gsm;IfcCommunicationsAppliance.ANTENNA;Data Devices [BIMids Classification:Data device];IFC4;Oui
Appareil de données;Classe et type IFC;Types IFC;Toutes;Relai gsm;IfcCommunicationsAppliance.ANTENNA;Data Devices [BIMids Classification:Data device];IFC4;Oui
Appareil de données;Classe et type IFC;Types IFC;Toutes;Passerelle domotique;IfcCommunicationsAppliance.GATEWAY;Data Devices [BIMids Classification:Data device];IFC4;Oui
Appareil de données;Classe et type IFC;Types IFC;Toutes;Antenne;IfcCommunicationsAppliance.ANTENNA;Data Devices [BIMids Classification:Data device];IFC4;Oui
Appareil de données;Classe et type IFC;Types IFC;Toutes;Imprimante;IfcCommunicationsAppliance.PRINTER;Data Devices [BIMids Classification:Data device];IFC4;Oui
Appareil de données;Classe et type IFC;Types IFC;Toutes;Ordinateur;IfcCommunicationsAppliance.COMPUTER;Data Devices [BIMids Classification:Data device];IFC4;Oui
Appareil de données;Classe et type IFC;Types IFC;Toutes;Serveur;IfcCommunicationsAppliance.COMPUTER;Data Devices [BIMids Classification:Data device];IFC4;Oui
Appareil de données;Classe et type IFC;Types IFC;Toutes;Switch data;IfcCommunicationsAppliance.NETWORKHUB;Data Devices [BIMids Classification:Data device];IFC4;Oui
Appareil de données;Classe et type IFC;Types IFC;Toutes;Fax;IfcCommunicationsAppliance.FAX;Data Devices [BIMids Classification:Data device];IFC4;Oui
Appareil de données;Classe et type IFC;Types IFC;Toutes;Modem internet;IfcCommunicationsAppliance.MODEM;Data Devices [BIMids Classification:Data device];IFC4;Oui
Appareil de données;Classe et type IFC;Types IFC;Toutes;Accessoire réseau (firewall, répartition charge réseau,etc.);IfcCommunicationsAppliance.NETWORKAPPLIANCE;Data Devices [BIMids Classification:Data device];IFC4;Oui
Appareil de données;Classe et type IFC;Types IFC;Toutes;Répétiteur (Wifi, gsm,etc.);IfcCommunicationsAppliance.REPEATER;Data Devices [BIMids Classification:Data device];IFC4;Oui
Appareil de données;Informations alphanumériques;Niveau objet;APD;Statut de rénovation (Archicad) (p);Pset_CommunicationsApplianceTypeCommon.Status;-;IFC4;Oui
Appareil de données;Informations alphanumériques;Niveau objet;PDE;Statut de rénovation (Archicad) (p);Pset_CommunicationsApplianceTypeCommon.Status;-;IFC4;Oui
Appareil de données;Informations alphanumériques;Niveau objet;EXE;Statut de rénovation (Archicad) (p);Pset_CommunicationsApplianceTypeCommon.Status;-;IFC4;Oui
Appareil de données;Informations alphanumériques;Niveau objet;EXP;Statut de rénovation (Archicad) (p);Pset_CommunicationsApplianceTypeCommon.Status;-;IFC4;Oui
Appareil de données;Informations alphanumériques;Niveau objet;APD;Classe IFC (a);IFC Class;Export Type to IFC As;IFC4;Oui
Appareil de données;Informations alphanumériques;Niveau objet;PDE;Classe IFC (a);IFC Class;Export Type to IFC As;IFC4;Oui
Appareil de données;Informations alphanumériques;Niveau objet;EXE;Classe IFC (a);IFC Class;Export Type to IFC As;IFC4;Oui
Appareil de données;Informations alphanumériques;Niveau objet;EXP;Classe IFC (a);IFC Class;Export Type to IFC As;IFC4;Oui
Appareil de données;Informations alphanumériques;Niveau objet;APD;Type IFC (a);IFC Type;Type IFC Predefined Type;IFC4;Oui
Appareil de données;Informations alphanumériques;Niveau objet;PDE;Type IFC (a);IFC Type;Type IFC Predefined Type;IFC4;Oui
Appareil de données;Informations alphanumériques;Niveau objet;EXE;Type IFC (a);IFC Type;Type IFC Predefined Type;IFC4;Oui
Appareil de données;Informations alphanumériques;Niveau objet;EXP;Type IFC (a);IFC Type;Type IFC Predefined Type;IFC4;Oui
Appareil de données;Informations alphanumériques;Niveau objet;APD;Type IFC personnalisé (a);IfcObject.ObjectType;Objecttype (IDS will not check it);IFC4;Oui
Appareil de données;Informations alphanumériques;Niveau objet;PDE;Type IFC personnalisé (a);IfcObject.ObjectType;Objecttype (IDS will not check it);IFC4;Oui
Appareil de données;Informations alphanumériques;Niveau objet;EXE;Type IFC personnalisé (a);IfcObject.ObjectType;Objecttype (IDS will not check it);IFC4;Oui
Appareil de données;Informations alphanumériques;Niveau objet;EXP;Type IFC personnalisé (a);IfcObject.ObjectType;Objecttype (IDS will not check it);IFC4;Oui
Appareil de données;Informations alphanumériques;Niveau objet;APD;Nom objet (a);IfcRoot.Name;IfcName;IFC4;Oui
Appareil de données;Informations alphanumériques;Niveau objet;PDE;Nom objet (a);IfcRoot.Name;IfcName;IFC4;Oui
Appareil de données;Informations alphanumériques;Niveau objet;EXE;Nom objet (a);IfcRoot.Name;IfcName;IFC4;Oui
Appareil de données;Informations alphanumériques;Niveau objet;EXP;Nom objet (a);IfcRoot.Name;IfcName;IFC4;Oui
Appareil de données;Informations alphanumériques;Niveau objet;APD;Statut (p);Pset_CommunicationsApplianceTypeCommon.Status;Phase Created;IFC4;Oui
Appareil de données;Informations alphanumériques;Niveau objet;PDE;Statut (p);Pset_CommunicationsApplianceTypeCommon.Status;Phase Created;IFC4;Oui
Appareil de données;Informations alphanumériques;Niveau objet;EXE;Statut (p);Pset_CommunicationsApplianceTypeCommon.Status;Phase Created;IFC4;Oui
Appareil de données;Informations alphanumériques;Niveau objet;EXP;Statut (p);Pset_CommunicationsApplianceTypeCommon.Status;Phase Created;IFC4;Oui
Appareil de données;Documentation;Descriptifs;APD;Prescriptions;;;IFC4;Oui
Appareil de données;Documentation;Descriptifs;PDE;Prescriptions;;;IFC4;Oui
Appareil de données;Documentation;Descriptifs;EXE;Prescriptions;;;IFC4;Oui
Appareil de données;Documentation;Maintenance et fiches techniques;EXE;Fiche technique;;;IFC4;Oui
Appareil de données;Documentation;Maintenance et fiches techniques;EXP;Fiche technique;;;IFC4;Oui
Appareil de données;Documentation;Maintenance et fiches techniques;PDE;Protocole de communication;;;IFC4;Oui
Appareil de données;Documentation;Maintenance et fiches techniques;EXE;Protocole de communication;;;IFC4;Oui
Appareil de données;Documentation;Maintenance et fiches techniques;EXP;Protocole de communication;;;IFC4;Oui
Appareil de données;Documentation;Maintenance et fiches techniques;EXE;Notice de montage;;;IFC4;Oui
Appareil de données;Documentation;Maintenance et fiches techniques;EXP;Notice de montage;;;IFC4;Oui
Appareil de données;Documentation;Maintenance et fiches techniques;EXE;Protocole de mesure;;;IFC4;Oui
Appareil de données;Documentation;Maintenance et fiches techniques;EXP;Protocole de mesure;;;IFC4;Oui
Appareil de données;Documentation;Maintenance et fiches techniques;EXE;Notice de maintenance;;;IFC4;Oui
Appareil de données;Documentation;Maintenance et fiches techniques;EXP;Notice de maintenance;;;IFC4;Oui
Appareil de données;Documentation;Maintenance et fiches techniques;EXE;Carnet d'entretien;;;IFC4;Oui
Appareil de données;Documentation;Maintenance et fiches techniques;EXP;Carnet d'entretien;;;IFC4;Oui
Appareil de données;Documentation;Plans et schémas;PDE;Schéma unifilaire;;;IFC4;Oui
Appareil de données;Documentation;Plans et schémas;EXE;Schéma unifilaire;;;IFC4;Oui
Appareil de données;Documentation;Plans et schémas;EXP;Schéma unifilaire;;;IFC4;Oui
Appareil de données;Classification;Uniformat II 2010;Toutes;D6010 – Data Communications;;;IFC4;Oui
Appareil de données;Classification;DIN276;Toutes;"KG455 – Audiovisuelle Medien- und Antennenanlagen
KG457 – Datenüberstragungsnetze (Kommunikations-, sicherheits- und informationstechnische Anlagen)
KG485 – Datenübertragungsnetze (Gebäude- und Anlagenautomation)";;;IFC4;Oui
Appareil électrique;Classe et type IFC;Types IFC;Toutes;Congélateur;IfcElectricAppliance.FREEZER;Electrical Equipment [BIMids Classification:Electric appliance];IFC4;Oui
Appareil électrique;Classe et type IFC;Types IFC;Toutes;Combiné réfrigérateur=congélateur;IfcElectricAppliance.FRIDGE_FREEZER;Electrical Equipment [BIMids Classification:Electric appliance];IFC4;Oui
Appareil électrique;Classe et type IFC;Types IFC;Toutes;Frigo;IfcElectricAppliance.REFRIGERATOR;Electrical Equipment [BIMids Classification:Electric appliance];IFC4;Oui
Appareil électrique;Classe et type IFC;Types IFC;Toutes;Réfrigérateur;IfcElectricAppliance.REFRIGERATOR;Electrical Equipment [BIMids Classification:Electric appliance];IFC4;Oui
Appareil électrique;Classe et type IFC;Types IFC;Toutes;Lave-vaisselle;IfcElectricAppliance.DISHWASHER;Electrical Equipment [BIMids Classification:Electric appliance];IFC4;Oui
Appareil électrique;Classe et type IFC;Types IFC;Toutes;Micro-onde;IfcElectricAppliance.MICROWAVE;Electrical Equipment [BIMids Classification:Electric appliance];IFC4;Oui
Appareil électrique;Classe et type IFC;Types IFC;Toutes;Photocopieur;IfcElectricAppliance.PHOTOCOPIER;Electrical Equipment [BIMids Classification:Electric appliance];IFC4;Oui
Appareil électrique;Classe et type IFC;Types IFC;Toutes;Plaque de cuisson;IfcElectricAppliance.ELECTRICCOOKER;Electrical Equipment [BIMids Classification:Electric appliance];IFC4;Oui
Appareil électrique;Classe et type IFC;Types IFC;Toutes;Taque de cuisson;IfcElectricAppliance.ELECTRICCOOKER;Electrical Equipment [BIMids Classification:Electric appliance];IFC4;Oui
Appareil électrique;Classe et type IFC;Types IFC;Toutes;Robot de cuisine;IfcElectricAppliance.KITCHENMACHINE;Electrical Equipment [BIMids Classification:Electric appliance];IFC4;Oui
Appareil électrique;Classe et type IFC;Types IFC;Toutes;Sèche-cheveux fixe;IfcElectricAppliance.USERDEFINED[HAIRDRYER];Electrical Equipment [BIMids Classification:Electric appliance];IFC4;Oui
Appareil électrique;Classe et type IFC;Types IFC;Toutes;Sèche-main;IfcElectricAppliance.HANDDRYER;Electrical Equipment [BIMids Classification:Electric appliance];IFC4;Oui
Appareil électrique;Informations alphanumériques;Niveau objet;APD;Statut de rénovation (Archicad) (p);Pset_ElectricApplianceTypeCommon.Status;-;IFC4;Oui
Appareil électrique;Informations alphanumériques;Niveau objet;PDE;Statut de rénovation (Archicad) (p);Pset_ElectricApplianceTypeCommon.Status;-;IFC4;Oui
Appareil électrique;Informations alphanumériques;Niveau objet;EXE;Statut de rénovation (Archicad) (p);Pset_ElectricApplianceTypeCommon.Status;-;IFC4;Oui
Appareil électrique;Informations alphanumériques;Niveau objet;EXP;Statut de rénovation (Archicad) (p);Pset_ElectricApplianceTypeCommon.Status;-;IFC4;Oui
Appareil électrique;Informations alphanumériques;Niveau objet;APD;Classe IFC (a);IFC Class;Export Type to IFC As;IFC4;Oui
Appareil électrique;Informations alphanumériques;Niveau objet;PDE;Classe IFC (a);IFC Class;Export Type to IFC As;IFC4;Oui
Appareil électrique;Informations alphanumériques;Niveau objet;EXE;Classe IFC (a);IFC Class;Export Type to IFC As;IFC4;Oui
Appareil électrique;Informations alphanumériques;Niveau objet;EXP;Classe IFC (a);IFC Class;Export Type to IFC As;IFC4;Oui
Appareil électrique;Informations alphanumériques;Niveau objet;APD;Type IFC (a);IFC Type;Type IFC Predefined Type;IFC4;Oui
Appareil électrique;Informations alphanumériques;Niveau objet;PDE;Type IFC (a);IFC Type;Type IFC Predefined Type;IFC4;Oui
Appareil électrique;Informations alphanumériques;Niveau objet;EXE;Type IFC (a);IFC Type;Type IFC Predefined Type;IFC4;Oui
Appareil électrique;Informations alphanumériques;Niveau objet;EXP;Type IFC (a);IFC Type;Type IFC Predefined Type;IFC4;Oui
Appareil électrique;Informations alphanumériques;Niveau objet;APD;Type IFC personnalisé (a);IfcObject.ObjectType;Objecttype (IDS will not check it);IFC4;Oui
Appareil électrique;Informations alphanumériques;Niveau objet;PDE;Type IFC personnalisé (a);IfcObject.ObjectType;Objecttype (IDS will not check it);IFC4;Oui
Appareil électrique;Informations alphanumériques;Niveau objet;EXE;Type IFC personnalisé (a);IfcObject.ObjectType;Objecttype (IDS will not check it);IFC4;Oui
Appareil électrique;Informations alphanumériques;Niveau objet;EXP;Type IFC personnalisé (a);IfcObject.ObjectType;Objecttype (IDS will not check it);IFC4;Oui
Appareil électrique;Informations alphanumériques;Niveau objet;APD;Nom objet (a);IfcRoot.Name;IfcName;IFC4;Oui
Appareil électrique;Informations alphanumériques;Niveau objet;PDE;Nom objet (a);IfcRoot.Name;IfcName;IFC4;Oui
Appareil électrique;Informations alphanumériques;Niveau objet;EXE;Nom objet (a);IfcRoot.Name;IfcName;IFC4;Oui
Appareil électrique;Informations alphanumériques;Niveau objet;EXP;Nom objet (a);IfcRoot.Name;IfcName;IFC4;Oui
Appareil électrique;Informations alphanumériques;Niveau objet;APD;Statut (p);Pset_ElectricApplianceTypeCommon.Status;Phase Created;IFC4;Oui
Appareil électrique;Informations alphanumériques;Niveau objet;PDE;Statut (p);Pset_ElectricApplianceTypeCommon.Status;Phase Created;IFC4;Oui
Appareil électrique;Informations alphanumériques;Niveau objet;EXE;Statut (p);Pset_ElectricApplianceTypeCommon.Status;Phase Created;IFC4;Oui
Appareil électrique;Informations alphanumériques;Niveau objet;EXP;Statut (p);Pset_ElectricApplianceTypeCommon.Status;Phase Created;IFC4;Oui
Appareil électrique;Documentation;Descriptifs;APD;Prescriptions;;;IFC4;Oui
Appareil électrique;Documentation;Descriptifs;PDE;Prescriptions;;;IFC4;Oui
Appareil électrique;Documentation;Descriptifs;EXE;Prescriptions;;;IFC4;Oui
Appareil électrique;Documentation;Maintenance et fiches techniques;EXE;Fiche technique;;;IFC4;Oui
Appareil électrique;Documentation;Maintenance et fiches techniques;EXP;Fiche technique;;;IFC4;Oui
Appareil électrique;Documentation;Maintenance et fiches techniques;PDE;Protocole de communication;;;IFC4;Oui
Appareil électrique;Documentation;Maintenance et fiches techniques;EXE;Protocole de communication;;;IFC4;Oui
Appareil électrique;Documentation;Maintenance et fiches techniques;EXP;Protocole de communication;;;IFC4;Oui
Appareil électrique;Documentation;Maintenance et fiches techniques;EXE;Notice de montage;;;IFC4;Oui
Appareil électrique;Documentation;Maintenance et fiches techniques;EXP;Notice de montage;;;IFC4;Oui
Appareil électrique;Documentation;Maintenance et fiches techniques;EXE;Protocole de mesure;;;IFC4;Oui
